EQTYPE,FREQBAND,LOWERMOD,BANDWITDH,PTX,PTH,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
19,28,9,28,16,-65.5,,,,,,,,
19,28,9,56,16,-62.5,,,,,,,,
19,32,1,7,20,-89.5,,,,,,,,
19,32,1,14,20,-87.0,,,,,,,,
19,32,1,28,20,-84.0,,,,,,,,
19,32,1,56,20,-81.5,,,,,,,,
19,32,2,7,20,-85.5,,,,,,,,
19,32,2,14,20,-85.0,,,,,,,,
19,32,2,28,20,-82.5,,,,,,,,
19,32,2,56,20,-80.0,,,,,,,,
19,32,3,7,20,-83.0,,,,,,,,
19,32,3,14,20,-81.0,,,,,,,,
19,32,3,28,20,-77.0,,,,,,,,
19,32,3,56,20,-74.5,,,,,,,,
19,32,4,7,18,-80.0,,,,,,,,
19,32,4,14,18,-78.5,,,,,,,,
19,32,4,28,18,-75.5,,,,,,,,
19,32,4,56,18,-73.5,,,,,,,,
19,32,6,7,18,-77.5,,,,,,,,
19,32,6,14,18,-75.0,,,,,,,,
19,32,6,28,18,-72.0,,,,,,,,
19,32,6,56,18,-70.0,,,,,,,,
19,32,7,7,16,-75.0,,,,,,,,
19,32,7,14,16,-73.0,,,,,,,,
19,32,7,28,16,-70.0,,,,,,,,
19,32,7,56,16,-68.5,,,,,,,,
19,32,8,7,16,-73.5,,,,,,,,
19,32,8,14,16,-70.5,,,,,,,,
19,32,8,28,16,-68.0,,,,,,,,
19,32,8,56,16,-65.5,,,,,,,,
19,32,9,7,15,-70.5,,,,,,,,
19,32,9,14,15,-67.5,,,,,,,,
19,32,9,28,15,-65.0,,,,,,,,
19,32,9,56,15,-62.0,,,,,,,,
19,38,1,7,19,-90.0,,,,,,,,
19,38,1,14,19,-87.5,,,,,,,,
19,38,1,28,19,-84.5,,,,,,,,
19,38,1,56,19,-82.0,,,,,,,,
19,38,2,7,19,-86.0,,,,,,,,
19,38,2,14,19,-85.5,,,,,,,,
19,38,2,28,19,-83.0,,,,,,,,
19,38,2,56,19,-80.5,,,,,,,,
19,38,3,7,19,-83.5,,,,,,,,
19,38,3,14,19,-81.5,,,,,,,,
19,38,3,28,19,-77.5,,,,,,,,
19,38,3,56,19,-75.0,,,,,,,,
19,38,4,7,17,-80.5,,,,,,,,
19,38,4,14,17,-79.0,,,,,,,,
19,38,4,28,17,-76.0,,,,,,,,
19,38,4,56,17,-74.0,,,,,,,,
19,38,6,7,17,-78.0,,,,,,,,
19,38,6,14,17,-75.5,,,,,,,,
19,38,6,28,17,-72.5,,,,,,,,
19,38,6,56,17,-70.5,,,,,,,,
19,38,7,7,15,-75.5,,,,,,,,
19,38,7,14,15,-73.5,,,,,,,,
19,38,7,28,15,-70.5,,,,,,,,
19,38,7,56,15,-69.0,,,,,,,,
19,38,8,7,15,-74.0,,,,,,,,
19,38,8,14,15,-71.0,,,,,,,,
19,38,8,28,15,-68.5,,,,,,,,
19,38,8,56,15,-66.0,,,,,,,,
19,38,9,7,14,-71.0,,,,,,,,
19,38,9,14,14,-68.0,,,,,,,,
19,38,9,28,14,-65.5,,,,,,,,
19,38,9,56,14,-62.5,,,,,,,,
19,42,1,7,17,-89.0,,,,,,,,
19,42,1,14,17,-86.5,,,,,,,,
19,42,1,28,17,-83.5,,,,,,,,
19,42,1,56,17,-81.0,,,,,,,,
19,42,2,7,17,-85.0,,,,,,,,
19,42,2,14,17,-84.5,,,,,,,,
19,42,2,28,17,-82.0,,,,,,,,
19,42,2,56,17,-79.5,,,,,,,,
19,42,3,7,17,-82.5,,,,,,,,
19,42,3,14,17,-80.5,,,,,,,,
19,42,3,28,17,-76.5,,,,,,,,
19,42,3,56,17,-74.0,,,,,,,,
19,42,4,7,15,-79.5,,,,,,,,
19,42,4,14,15,-78.0,,,,,,,,
19,42,4,28,15,-75.0,,,,,,,,
19,42,4,56,15,-73.0,,,,,,,,
19,42,6,7,15,-77.0,,,,,,,,
19,42,6,14,15,-74.5,,,,,,,,
19,42,6,28,15,-71.5,,,,,,,,
19,42,6,56,15,-69.5,,,,,,,,
19,42,7,7,13,-74.5,,,,,,,,
19,42,7,14,13,-72.5,,,,,,,,
19,42,7,28,13,-69.5,,,,,,,,
19,42,7,56,13,-68.0,,,,,,,,
19,42,8,7,13,-73.0,,,,,,,,
19,42,8,14,13,-70.0,,,,,,,,
19,42,8,28,13,-67.5,,,,,,,,
19,42,8,56,13,-65.0,,,,,,,,
19,42,9,7,12,-70.0,,,,,,,,
19,42,9,14,12,-67.0,,,,,,,,
19,42,9,28,12,-64.5,,,,,,,,
19,42,9,56,12,-61.5,,,,,,,,
29,6L,1,7,29,-92.0,,,,,,,,
29,6L,1,14,29,-89.5,,,,,,,,
29,6L,1,28,29,-86.5,,,,,,,,
29,6L,1,56,29,-84.0,,,,,,,,
29,6L,2,7,29,-90.0,,,,,,,,
29,6L,2,14,29,-88.0,,,,,,,,
29,6L,2,28,29,-85.0,,,,,,,,
29,6L,2,56,29,-82.5,,,,,,,,
29,6L,5,7,26,-86.0,,,,,,,,
29,6L,5,14,26,-83.5,,,,,,,,
29,6L,5,28,26,-80.5,,,,,,,,
29,6L,5,56,26,-78.0,,,,,,,,
